iter	Passed	Remaining
400	26694	39875
401	26777	39832
402	26851	39777
403	26919	39713
404	26988	39649
405	27057	39586
406	27127	39525
407	27198	39464
408	27271	39407
409	27339	39342
410	27402	39270
411	27467	39201
412	27538	39141
413	27601	39069
414	27667	39001
415	27724	38920
416	27794	38858
417	27857	38787
418	27922	38718
419	27989	38651
420	28055	38584
421	28122	38518
422	28183	38444
423	28250	38377
424	28315	38309
425	28381	38241
426	28454	38183
427	28523	38120
428	28582	38043
429	28654	37983
430	28717	37912
431	28780	37840
432	28846	37773
433	28915	37709
434	28993	37658
435	29055	37585
436	29120	37516
437	29180	37441
438	29244	37371
439	29307	37299
440	29371	37230
441	29435	37160
442	29500	37092
443	29569	37028
444	29629	36953
445	29689	36879
446	29757	36813
447	29833	36759
448	29905	36699
449	29972	36632
450	30034	36561
451	30105	36499
452	30171	36432
453	30237	36365
454	30304	36298
455	30371	36232
456	30440	36168
457	30509	36105
458	30574	36036
459	30634	35961
460	30698	35893
461	30772	35834
462	30842	35771
463	30905	35701
464	30971	35633
465	31034	35563
466	31098	35494
467	31161	35422
468	31221	35348
469	31289	35283
470	31357	35218
471	31428	35156
472	31493	35089
473	31554	35016
474	31623	34952
475	31693	34889
476	31757	34819
477	31819	34748
478	31882	34677
479	31944	34606
480	32007	34536
481	32080	34476
482	32146	34408
483	32217	34347
484	32296	34294
485	32380	34246
486	32442	34174
487	32511	34110
488	32575	34041
489	32638	33970
490	32710	33910
491	32786	33852
492	32853	33786
493	32915	33715
494	32980	33646
495	33046	33579
496	33117	33516
497	33180	33446
498	33250	33384
499	33320	33320
500	33383	33250
501	33446	33179
502	33513	33113
503	33584	33051
504	33650	32983
505	33710	32910
506	33773	32841
507	33836	32770
508	33906	32707
509	33973	32641
510	34040	32574
511	34114	32515
512	34187	32455
513	34257	32391
514	34332	32332
515	34398	32265
516	34468	32201
517	34535	32135
518	34608	32074
519	34666	31999
520	34738	31938
521	34806	31872
522	34871	31804
523	34936	31735
524	35003	31669
525	35077	31609
526	35152	31550
527	35225	31489
528	35295	31425
529	35363	31360
530	35426	31290
531	35492	31222
532	35557	31154
533	35628	31091
534	35693	31023
535	35763	30959
536	35828	30890
537	35898	30827
538	35966	30761
539	36037	30698
540	36100	30628
541	36174	30567
542	36232	30493
543	36295	30424
544	36364	30359
545	36427	30289
546	36494	30223
547	36563	30158
548	36624	30086
549	36692	30021
550	36755	29951
551	36830	29891
552	36900	29827
553	36964	29758
554	37026	29687
555	37098	29625
556	37163	29557
557	37231	29491
558	37300	29426
559	37362	29356
560	37427	29288
561	37503	29228
562	37562	29155
563	37638	29096
564	37705	29029
565	37770	28961
566	37836	28894
567	37900	28826
568	37971	28762
569	38028	28688
570	38094	28621
571	38162	28555
572	38230	28489
573	38286	28414
574	38349	28344
575	38417	28279
576	38482	28211
577	38550	28145
578	38616	28078
579	38684	28012
580	38744	27941
581	38808	27872
582	38877	27807
583	38941	27739
584	39006	27671
585	39076	27606
586	39143	27540
587	39207	27471
588	39275	27406
589	39338	27337
590	39398	27265
591	39471	27203
592	39544	27141
593	39607	27071
594	39676	27006
595	39746	26942
596	39815	26877
597	39877	26807
598	39945	26741
599	39996	26664
600	40060	26596
601	40123	26527
602	40192	26461
603	40250	26389
604	40318	26323
605	40390	26260
606	40459	26195
607	40535	26134
608	40609	26072
609	40675	26005
610	40737	25936
611	40800	25866
612	40859	25795
613	40926	25728
614	40989	25660
615	41057	25594
616	41116	25522
617	41185	25457
618	41248	25388
619	41312	25320
620	41375	25251
621	41442	25185
622	41506	25117
623	41576	25052
624	41642	24985
625	41705	24916
626	41773	24850
627	41840	24784
628	41905	24716
629	41970	24649
630	42033	24580
631	42097	24512
632	42166	24447
633	42236	24382
634	42300	24314
635	42368	24248
636	42442	24186
637	42503	24116
638	42566	24047
639	42632	23980
640	42698	23913
641	42762	23845
642	42845	23788
643	42916	23724
644	42967	23648
645	43029	23579
646	43093	23511
647	43145	23436
648	43214	23371
649	43284	23307
650	43352	23241
651	43423	23177
652	43491	23110
653	43554	23042
654	43612	22971
655	43676	22903
656	43743	22837
657	43815	22773
658	43877	22704
659	43939	22635
660	44004	22568
661	44070	22501
662	44139	22436
663	44205	22368
664	44271	22301
665	44337	22235
666	44399	22166
667	44467	22100
668	44536	22035
669	44603	21969
670	44671	21902
671	44735	21835
672	44804	21769
673	44868	21702
674	44932	21633
675	44994	21565
676	45069	21503
677	45128	21432
678	45198	21367
679	45261	21299
680	45324	21231
681	45384	21161
682	45455	21097
683	45520	21030
684	45582	20961
685	45652	20896
686	45718	20829
687	45785	20763
688	45849	20695
689	45918	20630
690	45990	20565
691	46054	20498
692	46129	20435
693	46200	20371
694	46264	20303
695	46333	20237
696	46394	20168
697	46462	20102
698	46531	20037
699	46586	19965
700	46655	19900
701	46726	19835
702	46794	19769
703	46855	19700
704	46922	19634
705	46985	19566
706	47049	19498
707	47121	19434
708	47188	19367
709	47261	19304
710	47327	19237
711	47404	19174
712	47475	19110
713	47539	19042
714	47594	18971
715	47658	18903
716	47725	18837
717	47790	18770
718	47859	18704
719	47924	18637
720	47992	18571
721	48054	18503
722	48114	18433
723	48188	18370
724	48257	18304
725	48322	18237
726	48385	18169
727	48438	18097
728	48510	18033
729	48583	17969
730	48651	17903
731	48727	17839
732	48785	17770
733	48850	17703
734	48917	17636
735	48982	17569
736	49055	17505
737	49116	17437
738	49180	17369
739	49250	17304
740	49308	17234
741	49374	17167
742	49433	17098
743	49496	17030
744	49556	16962
745	49618	16894
746	49687	16828
747	49744	16758
748	49807	16691
749	49867	16622
750	49934	16556
751	50000	16489
752	50070	16424
753	50134	16356
754	50202	16290
755	50267	16224
756	50330	16156
757	50391	16088
758	50455	16020
759	50525	15955
760	50591	15888
761	50660	15823
762	50727	15756
763	50786	15688
764	50853	15621
765	50916	15554
766	50979	15486
767	51041	15418
768	51105	15351
769	51170	15284
770	51232	15216
771	51292	15148
772	51361	15082
773	51431	15017
774	51501	14952
775	51578	14888
776	51646	14822
777	51713	14756
778	51787	14692
779	51848	14623
780	51917	14558
781	51989	14493
782	52058	14427
783	52120	14359
784	52190	14294
785	52261	14229
786	52334	14164
787	52396	14096
788	52461	14029
789	52529	13963
790	52604	13899
791	52669	13832
792	52729	13764
793	52803	13699
794	52866	13632
795	52940	13567
796	53006	13500
797	53075	13435
798	53151	13371
799	53214	13303
800	53279	13236
801	53337	13168
802	53404	13101
803	53474	13036
804	53536	12968
805	53599	12901
806	53666	12834
807	53737	12769
808	53806	12703
809	53874	12637
810	53940	12570
811	53998	12502
812	54064	12435
813	54130	12368
814	54215	12306
815	54281	12239
816	54346	12173
817	54415	12107
818	54487	12041
819	54547	11973
820	54616	11907
821	54686	11842
822	54759	11777
823	54821	11709
824	54888	11643
825	54956	11576
826	55017	11509
827	55084	11442
828	55145	11374
829	55212	11308
830	55273	11240
831	55347	11175
832	55407	11108
833	55475	11041
834	55549	10976
835	55621	10911
836	55687	10844
837	55769	10781
838	55833	10714
839	55907	10648
840	55996	10586
841	56069	10521
842	56154	10458
843	56223	10392
844	56291	10325
845	56361	10259
846	56438	10194
847	56508	10128
848	56579	10063
849	56645	9996
850	56719	9930
851	56791	9865
852	56862	9799
853	56942	9734
854	57018	9669
855	57101	9605
856	57172	9539
857	57245	9474
858	57314	9407
859	57385	9341
860	57469	9277
861	57541	9211
862	57608	9145
863	57674	9078
864	57739	9011
865	57804	8944
866	57881	8879
867	57957	8813
868	58029	8747
869	58105	8682
870	58181	8617
871	58249	8550
872	58311	8482
873	58388	8417
874	58456	8350
875	58513	8282
876	58584	8216
877	58650	8149
878	58721	8083
879	58776	8014
880	58836	7947
881	58900	7880
882	58958	7812
883	59024	7745
884	59092	7678
885	59157	7611
886	59223	7544
887	59286	7477
888	59351	7410
889	59421	7344
890	59481	7276
891	59541	7209
892	59615	7143
893	59680	7076
894	59741	7008
895	59800	6941
896	59870	6874
897	59940	6808
898	60014	6742
899	60079	6675
900	60146	6608
901	60210	6541
902	60274	6474
903	60341	6407
904	60409	6341
905	60474	6274
906	60541	6207
907	60610	6141
908	60676	6074
909	60728	6006
910	60789	5938
911	60847	5871
912	60913	5804
913	60968	5736
914	61038	5670
915	61112	5604
916	61181	5537
917	61252	5471
918	61321	5404
919	61389	5338
920	61460	5271
921	61540	5206
922	61608	5139
923	61674	5072
924	61735	5005
925	61803	4938
926	61872	4872
927	61936	4805
928	61993	4737
929	62053	4670
930	62108	4603
931	62178	4536
932	62240	4469
933	62301	4402
934	62369	4335
935	62437	4269
936	62501	4202
937	62572	4135
938	62633	4068
939	62697	4001
940	62769	3935
941	62837	3868
942	62902	3802
943	62968	3735
944	63028	3668
945	63085	3601
946	63148	3534
947	63212	3467
948	63276	3400
949	63336	3333
950	63409	3267
951	63471	3200
952	63535	3133
953	63605	3066
954	63672	3000
955	63744	2933
956	63804	2866
957	63870	2800
958	63939	2733
959	64003	2666
960	64066	2599
961	64130	2533
962	64195	2466
963	64267	2400
964	64328	2333
965	64376	2265
966	64441	2199
967	64508	2132
968	64574	2065
969	64641	1999
970	64700	1932
971	64764	1865
972	64830	1799
973	64898	1732
974	64982	1666
975	65074	1600
976	65151	1533
977	65216	1467
978	65279	1400
979	65343	1333
980	65405	1266
981	65474	1200
982	65541	1133
983	65603	1066
984	65683	1000
985	65759	933
986	65820	866
987	65884	800
988	65957	733
989	66030	666
990	66105	600
991	66174	533
992	66238	466
993	66303	400
994	66371	333
995	66431	266
996	66494	200
997	66557	133
998	66619	66
999	66687	0
